rgt,cycle,trans_type,lat_req,lon_req,asc_req,lon_actual,lat_actual,asc_actual,trans_file,crr_id,tdif,conflict,priority,accept,,,,
29,0,1,-22.583,37.213,0,,,,V2.0,,,,1,y,,,,
30,0,0,71.651,24.199,0,,,,V2.0,,,,1,y,42.363377,30.326747,Push Back,
30,0,1,69.639,-146.94,1,,,,V2.0,,,,1,y,,,,
30,0,0,54.887,-150.46,1,,,,V2.0,,,,1,y,,,,
30,0,1,25.087,-154.31,1,,,,V2.0,,,,1,y,,,,
30,0,0,-31.489,-160.16,1,,,,V2.0,,,,1,y,,,,
30,0,1,-30.55,14.464,0,,,,V2.0,,,,1,y,,,,
31,0,0,63.274,3.1889,0,,,,V2.0,,,,1,y,,,,
31,0,1,-0.99529,179.4,1,,,,V2.0,,,,1,y,,,,
31,0,0,-47.22,174.26,1,,,,V2.0,,,,1,y,,,,
32,0,1,3.3138,-12.659,0,,,,V2.0,,,,1,y,,,,
32,0,0,34.812,-15.986,0,,,,V2.0,,,,1,y,,,,
32,0,1,69.769,165.87,1,,,,V2.0,,,,1,y,,,,
32,0,0,53.64472,162.1003,1,,,,V2.0,,,,1,y,,,,
32,0,1,9.2399,156.81,1,,,,V2.0,,,,1,y,,,,
32,0,0,-39.136,151.7,1,,,,V2.0,,,,1,y,,,,
33,0,1,72.133,143.18,1,,,,V2.0,,,,1,y,,,,
33,0,0,30.024,135.38,1,,,,V2.0,,,,1,y,,,,
33,0,1,9.2356,133.19,1,,,,V2.0,,,,1,y,,,,
33,0,0,-36.281,128.43,1,,,,V2.0,,,,1,y,,,,
33,0,1,-40.233,-55.248,0,,,,V2.0,,,,1,y,,,,
34,0,0,21.236,-61.725,0,,,,V2.0,,,,1,y,,,,
34,0,1,40.553,-63.919,0,,,,V2.0,,,,1,y,,,,
34,0,0,60.901,-67.132,0,,,,V2.0,,,,1,y,,,,
34,0,1,73.242,120.07,1,,,,V2.0,,,,1,y,,,,
34,0,0,-11.715,107.47,1,,,,V2.0,,,,1,y,,,,
35,0,1,4.9156,-83.676,0,,,,V2.0,,,,1,y,,,,
35,0,0,59.632,-90.482,0,,,,V2.0,,,,1,y,,,,
35,0,1,77.246,98.9175,1,,,,V2.0,,,,1,y,,,,
35,0,0,15.806,86.621,1,,,,V2.0,,,,1,y,,,,
36,0,1,18.99,-108.73,0,,,,V2.0,,,,1,y,,,,
36,0,0,69.285,-116.61,0,,,,V2.0,,,,1,y,,,,
36,0,1,68.512,70.954,1,,,,V2.0,,,,1,y,,,,
36,0,0,21.407,63.584,1,,,,V2.0,,,,1,y,,,,
36,0,1,-30.553,-127.25,0,,,,V2.0,,,,1,y,,,,
36,0,0,-14.26,-128.99,0,,,,V2.0,,,,1,y,,,,
37,0,1,53.754,-136.65,0,,,,V2.0,,,,1,y,,,,
37,0,0,69.6,-140.34,0,,,,V2.0,,,,1,y,,,,
37,0,1,67.248,46.944,1,,,,V2.0,,,,1,y,,,,
37,0,0,-28.782,34.813,1,,,,V2.0,,,,1,y,,,,
37,0,1,-31.666,-150.74,0,,,,V2.0,,,,1,y,,,,
38,0,0,28.102,-156.94,0,,,,V2.0,,,,1,y,,,,
