rgt,trans_type,lat,lon
71,1,2.5212,-45.016
71,0,-32.455,-48.657
71,1,-35.792,126.68
72,0,74.491,110.82
72,1,60.909,-61.322
72,0,40.719,-64.515
72,1,20.921,-66.762
72,0,-57.353,-75.757
72,1,-7.2374,100.01
73,0,72.916,88.014
73,1,57.74,-85.579
73,0,10.207,-91.485
74,1,6.5118,75.007
74,0,69.127,65.906
74,1,65.351,-107.51
74,0,21.73,-113.92
75,1,4.5881,51.58
75,0,67.229,42.889
75,1,70.567,-129.47
75,0,49.483,-134.18
75,1,-3.3899,-140.09
75,0,-31.011,-142.97
75,1,-33.735,31.956
76,0,70.699,18.091
76,1,70.874,-152.97
76,0,51.395,-157.51
76,1,27.327,-160.55
76,0,-31.805,-166.68
77,1,1.0637,4.6959
77,0,63.745,-3.4139
77,1,9.8895,174.01
77,0,-51.494,167.13
78,1,70.562,159.67
78,0,45.499,154.4
78,1,12.923,150.7
78,0,-45.958,144.32
78,1,-25.125,-39.859
79,0,1.2347,-42.558
79,1,71.506,136.43
79,0,24.117,128.24
79,1,13.401,127.12
79,0,-37.548,121.79
79,1,-44.047,-61.245
80,0,21.238,-68.214
80,1,38.643,-70.17
80,0,60.903,-73.62
80,1,73.869,113.9
80,0,-8.9999,101.25
81,1,9.7166,-90.647
81,0,64.228,-98.001
81,1,76.698,92.014
81,0,4.1226,78.951
82,1,23.941,-115.74
82,0,70.07,-123.38
82,1,68.831,64.573
82,0,13.413,56.269
82,1,-30.876,-133.7
82,0,-7.2513,-136.18
83,1,55.18,-143.38
83,0,69.565,-146.82
83,1,66.301,40.183
83,0,-37.372,27.333
83,1,-31.828,-157.21
84,0,26.981,-163.31
84,1,69.302,17.501
84,0,-3.0716,7.3724
84,1,-30.39,179.0
85,0,4.4307,175.41
85,1,57.092,169.03
85,0,69.584,165.93
85,1,34.025,-12.373
85,0,5.8858,-15.35
85,1,-16.507,153.9
86,0,12.119,151.01
86,1,55.033,145.78
86,0,72.605,141.1
86,1,0.27836,-39.531
86,0,-26.724,-42.308
86,1,-36.105,132.43
87,0,8.7557,127.73
87,1,30.022,125.5
87,0,73.545,117.03
87,1,21.244,-61.018
87,0,-59.404,-70.443
87,1,-11.874,106.18
88,0,76.688,91.521
88,1,55.043,-80.352
88,0,6.2079,-86.177
89,1,2.0312,81.167
89,0,68.178,71.93
89,1,65.195,-101.84
89,0,19.974,-108.39
90,1,12.91,56.452
90,0,68.334,48.258
90,1,70.569,-123.76
90,0,46.145,-128.95
90,1,-7.8646,-134.83
90,0,-31.007,-137.26
90,1,-23.382,36.519
91,0,71.019,23.677
91,1,69.658,-147.71
91,0,54.887,-151.23
91,1,29.561,-154.6
91,0,-31.329,-160.92
91,1,-26.568,13.244
92,0,57.401,3.6403
92,1,2.6922,178.99
92,0,-48.481,173.3
93,1,3.947,-13.501
93,0,37.039,-17.028
93,1,69.934,165.15
93,0,50.752,160.86
93,1,8.1264,155.92
93,0,-42.464,150.5
94,1,72.455,142.55
94,0,30.191,134.62
94,1,8.6025,132.35
94,0,-35.956,127.69
94,1,-40.875,-55.945
95,0,22.035,-62.588
95,1,40.234,-64.658
95,0,61.217,-67.978
95,1,73.085,119.22
95,0,-11.395,106.72
96,1,5.0748,-84.47
96,0,60.107,-91.358
96,1,77.328,98.204
96,0,15.647,85.826
97,1,18.829,-109.49
97,0,69.284,-117.39
97,1,67.722,69.925
97,0,21.088,62.772
97,1,-31.828,-127.89
97,0,-13.963,-129.79
98,1,54.541,-137.56
98,0,69.58,-141.11
98,1,68.203,46.461
98,0,-30.208,33.876
98,1,-31.673,-151.52
99,0,28.095,-157.72
99,1,71.517,24.047
99,0,-22.88,11.054
99,1,-32.146,-175.09
100,0,12.108,-179.66
100,1,64.244,-1.8896
100,0,1.2509,-10.105
100,1,-19.067,159.87
101,0,11.314,156.8
101,1,55.028,151.49
101,0,72.732,146.75
101,1,-40.4,138.66
102,0,11.479,133.17
102,1,23.315,131.94
102,0,73.548,122.74
102,1,10.523,-56.411
102,0,-45.324,-62.449
102,1,-12.83,111.99
103,0,77.311,96.756
103,1,60.917,-73.522
103,0,3.9709,-80.691
104,1,15.31,85.537
104,0,70.227,76.938
104,1,63.774,-96.493
104,0,14.38,-103.26
105,1,21.384,61.286
105,0,68.962,53.762
105,1,68.837,-118.67
105,0,35.155,-124.63
105,1,-13.614,-129.7
105,0,-31.48,-131.61
105,1,-21.631,42.043
106,0,71.645,29.133
106,1,69.645,-142.01
106,0,56.322,-145.27
106,1,13.579,-150.58
106,0,-31.642,-155.24
106,1,-38.191,20.287
107,0,64.218,7.8893
107,1,16.134,-173.94
107,0,-33.239,-179.05
108,1,1.061,-7.5022
108,0,35.119,-11.091
108,1,68.992,170.53
108,0,55.684,167.38
108,1,15.974,162.43
108,0,-25.436,158.21
109,1,72.302,148.19
109,0,27.001,139.97
109,1,4.7658,137.67
109,0,-37.383,133.23
109,1,-36.113,-50.819
110,0,9.5531,-55.593
110,1,41.982,-59.17
110,0,61.371,-62.303
110,1,73.877,125.33
110,0,-12.51,112.32
110,1,-59.087,-71.052
110,0,-33.251,-74.774
110,1,-17.948,-76.436
111,0,58.359,-85.301
111,1,78.0011,104.4792
111,0,16.29,91.602
112,1,14.028,-103.28
112,0,66.277,-110.74
112,1,69.937,76.375
112,0,18.212,68.182
113,1,48.497,-130.91
113,0,69.595,-135.41
113,1,68.523,52.273
