rgt,trans_type,lat,lon,asc_req
32,0,34.812,-15.985999999999999,0
32,1,13.82329217118902,157.27613360721665,1
32,0,-36.9277420938289,151.97023618314392,1
32,1,-9.895030227407268,-34.95247231882435,1
32,0,-4.551503208590367,-35.490289387229346,1
33,1,11.028287530561009,133.3721870809931,1
33,0,-33.79573920336171,128.72197308273732,1
33,1,-38.42244350680911,-55.471846290372895,1
34,0,20.015309304689772,-61.59703097530677,0
34,1,43.712832857690174,113.40444425714132,1
34,0,-11.715000000000002,107.47000000000001,1
35,1,4.915600000000001,-83.676,0
35,0,39.77897144858716,-87.4382433926088,0
35,1,25.83615812961032,87.67600969008305,1
35,0,15.806000000000003,86.621,1
36,1,18.989999999999995,-108.73,0
36,0,36.64704250801585,-110.67519757175235,0
36,1,31.79954940997436,64.71694743335104,1
36,0,21.406999999999996,63.58399999999999,1
36,1,-30.553,-127.25,0
36,0,-14.259999999999998,-128.99,0
37,1,36.19510501706012,41.608694584923036,0
37,0,-28.02365480455359,34.89706830524524,0
37,1,-32.93982394554985,-150.59824382308747,1
38,0,28.102,-156.94,0
38,1,41.14023824385787,18.596416724023488,1
38,0,-25.598,11.542,1
38,1,-31.662,-174.36,0
39,0,13.555,-179.02999999999997,0
39,1,64.554,-1.0326,1
39,0,0.60415,-9.3909,1
39,1,-52.340048051960515,164.73118702306687,0
39,0,-45.727389279614094,163.75669925981887,0
39,1,-17.463999999999995,160.49,0
40,0,11.794,157.53,0
40,1,43.889884924278896,153.93291667129378,0
40,0,72.127,147.8,0
40,1,-40.55799999999999,139.45999999999998,0
41,0,11.799999999999999,133.91,0
41,1,27.311000000000003,132.29,0
41,0,36.300616553934255,131.26549055862552,0
41,1,9.4024,-55.746,1
41,0,-42.946,-61.35300000000001,1
41,1,-38.49100000000001,115.58000000000001,0
41,0,-20.765498834551778,113.59116343801611,0
41,1,-11.90263311488412,112.6765415260196,0
42,0,45.88562765789149,106.4285018140089,0
42,1,39.67821642740281,-76.06699834974515,1
42,0,-11.074,-81.421,1
43,1,15.476999999999999,86.299,0
43,0,26.587895091848125,85.12831042278498,0
43,1,41.495505492021614,-99.4599895323099,1
43,0,14.053000000000003,-102.51999999999998,1
44,1,21.551000000000002,62.047000000000004,0
44,0,44.50449794537163,59.37496227265758,0
44,1,40.88660011432156,-123.15596041351768,1
44,0,34.190999999999995,-123.97,1
44,1,-15.059000000000001,-129.07,1
44,0,-31.328000000000003,-130.81,1
44,1,-28.162,43.525000000000006,0
45,0,36.76873977993791,36.73052197316141,0
45,1,15.178635753313728,-149.6387572551493,1
45,0,-33.05906633074695,-154.62743284271633,1
45,1,-38.032,21.047,0
46,0,44.689571630077644,12.109319689602144,0
46,1,15.814000000000002,-173.18999999999997,1
46,0,-32.762,-178.20999999999998,1
47,1,1.0678999999999996,-6.7243,0
47,0,36.72099999999999,-10.502,0
47,1,51.09710798947348,-12.428460481676208,0
47,0,58.03086973069183,-13.608946714220998,0
47,1,70.407,171.82,1
47,0,55.677,168.15999999999997,1
47,1,16.287,163.24,1
47,0,-18.876170374844733,159.67958329891553,1
48,1,12.86994558747711,139.2693933909212,1
48,0,-36.91626406688139,134.06312214789918,1
48,1,-33.95621933092232,-50.293343498212316,1
49,0,9.187854651665477,-54.777271108068135,0
49,1,42.10329753124718,118.90465357239219,1
49,0,-12.516999999999998,113.1,1
49,1,-59.08,-70.274,0
49,0,-32.447,-74.08799999999998,0
49,1,-18.258999999999993,-75.62499999999999,0
50,0,39.67916889198429,-81.71651817772825,0
50,1,26.9417691858216,93.50599702402523,1
50,0,7.328000000000002,91.47099999999999,1
51,1,13.708999999999998,-102.47,0
51,0,35.133680771155284,-104.78617418979759,0
51,1,32.22160233059481,70.47498686531095,1
51,0,17.571,68.894,1
52,1,33.56712673321437,47.01089601338374,0
